课程名称,综合得分范围,前静息阶段_得分范围,前静息阶段_等级,快肌纤维阶段_得分范围,快肌纤维阶段_等级,慢肌纤维阶段_得分范围,慢肌纤维阶段_等级,耐力测试阶段_得分范围,耐力测试阶段_等级,后静息阶段_得分范围,后静息阶段_等级
产后盆底康复,40-50分,12-18分,一般,45-55分,一般,40-50分,一般,75-85分,优秀,15-25分,较差
私密抗衰养护,50-60分,12-18分,一般,55-65分,一般,50-60分,一般,75-85分,优秀,15-25分,较差
私密紧致回春（初步）,35-45分,12-18分,一般,40-50分,一般,35-45分,较差,75-85分,优秀,15-25分,较差
私密紧致回春（增强）,60-70分,12-18分,一般,65-75分,很好,60-70分,很好,75-85分,优秀,15-25分,较差
私密按摩放松,30-40分,3-8分,较差,70-80分,很好,65-75分,很好,75-85分,优秀,5-12分,较差
私密紧致,45-55分,12-18分,一般,50-60分,一般,45-55分,一般,75-85分,优秀,15-25分,较差
私密放松,25-35分,2-5分,较差,70-80分,很好,65-75分,很好,75-85分,优秀,3-8分,较差
压力性尿失禁,35-45分,12-18分,一般,30-40分,较差,40-50分,一般,75-85分,优秀,15-25分,较差
急迫性尿失禁,30-40分,12-18分,一般,35-45分,较差,30-40分,较差,75-85分,优秀,15-25分,较差
混合性尿失禁,55-65分,12-18分,一般,70-80分,很好,65-75分,很好,75-85分,优秀,15-25分,较差
盆腔脏器脱垂,20-30分,12-18分,一般,15-25分,较差,20-30分,较差,25-35分,较差,15-25分,较差
便秘(低张型),35-45分,12-18分,一般,30-40分,较差,35-45分,较差,75-85分,优秀,15-25分,较差
便秘(高张型),40-50分,5-12分,较差,70-80分,很好,65-75分,很好,75-85分,优秀,8-15分,较差
盆底痛,20-30分,1-5分,较差,70-80分,很好,65-75分,很好,75-85分,优秀,2-6分,较差
