序号,课程名称,课节数,总时长(分钟),主要训练类型
1,产后盆底康复,59,540,"电刺激(35), 凯格尔训练(12), 触发电刺激(8), 游戏互动(4)"
2,私密抗衰养护,61,540,"电刺激(28), 凯格尔训练(18), 游戏互动(9), 触发电刺激(6)"
3,私密紧致回春（初步）,36,450,"凯格尔训练(13), 电刺激(12), 游戏互动(10), 音乐放松(1)"
4,私密紧致回春（增强）,37,450,"凯格尔训练(18), 电刺激(10), 触发电刺激(5), 游戏互动(4)"
5,私密按摩放松,44,450,"凯格尔训练(15), 电刺激(13), 音乐放松(7), 游戏互动(7), 触发电刺激(2)"
6,私密紧致,37,450,"凯格尔训练(18), 电刺激(10), 触发电刺激(5), 游戏互动(4)"
7,私密放松,33,450,"凯格尔训练(14), 电刺激(13), 游戏互动(4), 触发电刺激(2)"
8,压力性尿失禁,59,540,"电刺激(33), 凯格尔训练(13), 触发电刺激(9), 游戏互动(4)"
9,急迫性尿失禁,63,540,"电刺激(52), 凯格尔训练(6), 触发电刺激(3), 游戏互动(2)"
10,混合性尿失禁,61,540,"电刺激(36), 凯格尔训练(12), 触发电刺激(9), 游戏互动(4)"
11,盆腔脏器脱垂,58,540,"电刺激(32), 凯格尔训练(14), 触发电刺激(8), 游戏互动(4)"
12,便秘(低张型),50,450,"电刺激(22), 凯格尔训练(14), 触发电刺激(11), 游戏互动(3)"
13,便秘(高张型),57,540,"电刺激(28), 凯格尔训练(15), 触发电刺激(11), 游戏互动(3)"
14,盆底痛,56,450,"电刺激(34), 凯格尔训练(16), 触发电刺激(6)"
